PLAYER,SALARY,CAD_SALARY,BORN,AGE,TEAM,Number,Position,Handed,Years_EXP,Height,Weight,Games_Played,Goals,Assists,Points,Penalty_Min,PLUSMINUS,PP_Goals,SH_Goals,GW_Goals,SOG,Shot_PCT
"FITZPATRICK, RORY",-999,0,USA NY,24,STL,42,D,R,2,73,195,1,0,0,0,2,-3,0,0,0,0,0
"FLEURY, THEOREN",8500000,0,CAN SAS,31,COL,14,L,R,10,66,170,75,40,53,93,86,26,8,3,5,301,13.2999999821
"FOOTE, ADAM",3100000,0,CAN ONT,28,COL,52,D,R,7,73,202,64,5,16,21,92,20,3,0,0,83,6
"FORBES, COLIN",450000,0,CAN BC,23,TB,27,L,L,2,73,200,80,12,8,20,61,-5,0,1,4,117,10.2999999821
"FORSBERG, PETER",9000000,0,SWEDEN,26,COL,21,C,L,4,71,190,78,30,67,97,108,27,9,2,7,217,13.7999999821
"FRANCIS, RON",5000000,0,CAN ONT,36,CAR,21,C,L,17,74,200,82,21,31,52,34,-2,8,0,2,133,15.7999999821
"FRASER, SCOTT",1500000,0,CAN NB,27,NYR,21,R,R,2,73,200,28,2,4,6,14,-12,1,0,0,35,5.6999999881
"FRIEDMAN, DOUG",460918,0,USA ME,28,NAS,8,L,L,1,73,195,2,0,1,1,14,0,0,0,0,3,0
"FRIESEN, JEFF",2500000,0,CAN SAS,23,SJ,39,L,L,4,72,190,78,22,35,57,42,3,10,1,3,215,10.1999999881
"GAGNER, DAVE",2300000,0,CAN ONT,34,VAN,15,L,L,14,70,180,69,6,22,28,63,-16,2,0,1,100,6
"GAGNON, SEAN",500000,0,CAN ONT,26,PHO,48,D,L,1,74,210,2,0,0,0,7,-2,0,0,0,1,0
"GALANOV, MAXIM",475000,0,USSR,25,PIT,47,D,L,1,73,195,51,4,3,7,14,-8,2,0,0,44,9.099999994
"GALLEY, GARRY",1804000,0,CAN QUE,36,LA,3,D,L,14,72,204,60,4,12,16,30,-9,3,0,0,77,5.1999999881
"GARDINER, BRUCE",525000,0,CAN ONT,28,OTT,25,R,R,2,73,193,59,4,8,12,43,6,0,0,1,70,5.6999999881
"GARPENLOV, JOHAN",975000,0,SWEDEN,31,FLA,29,R,L,8,71,183,64,8,9,17,42,-9,0,1,0,71,11.2999999821
"GAUL, MIKE",400000,0,CAN QUE,26,COL,15,D,R,0,73,200,1,0,0,0,0,0,0,0,0,1,0
"GAUTHIER, DENIS",550000,0,CAN QUE,22,CAL,3,D,L,1,73,200,55,3,4,7,68,3,0,0,0,40,7.5
"GAVEY, AARON",450000,0,CAN ONT,25,DAL,23,C,L,3,73,185,7,0,0,0,10,-1,0,0,0,4,0
"GELINAS, MARTIN",1300000,0,CAN QUE,29,CAR,23,L,L,10,71,195,76,13,15,28,67,3,0,0,2,111,11.6999999881
"GILCHRIST, BRENT",1350000,0,CAN SAS,32,DET,41,L,L,10,71,180,5,1,0,1,0,-1,0,0,1,4,25
"GILL, HAL",700000,0,USA MA,24,BOS,25,D,L,1,78,230,80,3,7,10,63,-10,0,0,2,102,2.8999999985
"GILL, TODD",1500000,0,CAN ONT,33,DET,15,D,L,14,72,185,51,4,5,9,27,-10,1,0,1,61,6.599999994
"GILMOUR, DOUG",6000000,0,CAN ONT,36,CHI,93,C,L,15,71,175,72,16,40,56,56,-16,7,1,4,110,14.5
"GIRARD, JONATHAN",650000,0,CAN QUE,19,BOS,55,D,R,0,71,192,3,0,0,0,0,1,0,0,0,3,0
"GOLUBOVSKY, YAN",425000,0,USSR,23,DET,28,D,R,1,75,183,17,0,1,1,16,4,0,0,0,10,0
"GONCHAR, SERGEI",1800000,0,USSR,25,WAS,55,D,L,4,74,212,53,21,10,31,57,1,13,1,3,180,11.6999999881
"GORDON, ROBB",-999,0,CAN BC,23,VAN,7,C,R,0,71,180,4,0,0,0,2,0,0,0,0,1,0
"GRANATO, TONY",1950000,0,USA IL,35,SJ,21,R,R,10,70,185,35,6,6,12,54,4,0,1,1,65,9.1999999881
"GRAND-PIERRE, JEAN-LUC",362500,0,CAN QUE,22,BUF,34,D,R,0,75,207,16,0,1,1,17,0,0,0,0,11,0
"GRATTON, BENOIT",350000,0,CAN QUE,22,WAS,48,L,L,1,70,163,16,4,3,7,16,-1,0,0,0,24,16.6999999881
"GRATTON, CHRIS",1500000,0,CAN ONT,24,TB,77,C,L,5,75,220,78,8,26,34,143,-28,1,0,1,181,4.3999999911
"GRAVES, ADAM",-999,0,CAN ONT,31,NYR,9,L,L,11,71,205,82,38,15,53,47,-12,14,2,7,239,15.8999999762
"GREEN, JOSH",800000,0,CAN ALB,21,LA,21,L,L,0,75,197,27,1,3,4,8,-5,1,0,0,35,2.8999999985
"GREEN, TRAVIS",1800000,0,CAN BC,28,ANA,39,C,R,6,72,195,79,13,17,30,81,-7,3,1,2,165,7.8999999911
"GREIG, MARK",-999,0,CAN ALB,29,PHI,9,R,R,5,71,185,7,1,3,4,2,1,0,0,0,9,11.099999994
"GRETZKY, WAYNE",-999,0,CAN ONT,38,NYR,99,C,L,19,72,180,70,9,53,62,14,-23,3,0,3,132,6.799999997
"GRIER, MIKE",675000,0,USA MI,24,EDM,25,R,R,2,73,235,82,20,24,44,54,5,3,2,1,143,14
"GRIMSON, STU",500000,0,CAN BC,34,ANA,32,L,L,10,77,227,73,3,0,3,158,0,0,0,1,10,30
"GROSEK, MICHAL",750000,0,CZECH,24,BUF,18,L,R,5,74,207,76,20,30,50,102,21,4,0,3,140,14.2999999821
"GRUDEN, JOHN",405000,1,USA MN,29,OTT,24,D,L,3,72,189,13,0,1,1,8,0,0,0,0,10,0
"GUERIN, BILL",2600000,0,USA MA,28,EDM,9,R,R,7,74,210,80,30,34,64,133,7,13,0,2,261,11.5
"GUOLLA, STEVE",450000,0,CAN ONT,26,SJ,36,C,L,2,72,180,14,2,2,4,6,3,0,0,1,22,9.099999994
"GUREN, MIROSLAV",400000,0,CZECH,21,MON,48,D,L,0,74,210,12,0,1,1,4,-1,0,0,0,11,0
"GUSAROV, ALEXEI",1300000,0,USSR,35,COL,5,D,L,8,74,185,54,3,10,13,24,12,1,0,0,28,10.6999999881
"GUSEV, SERGEY",402500,0,USSR,24,TB,3,D,L,1,73,195,36,1,7,8,16,-3,0,0,1,46,2.1999999955
"HALKO, STEVEN",450000,0,CAN ONT,25,CAR,14,D,R,1,73,190,20,0,3,3,24,5,0,0,0,6,0
"HALLER, KEVIN",950000,0,CAN ALB,28,ANA,5,D,L,9,74,185,82,1,6,7,122,-1,0,0,0,64,1.5999999978
"HALVERSON, TREVOR",400000,0,CAN ONT,28,WAS,18,L,L,0,72,195,17,0,4,4,28,-5,0,0,0,16,0
"HAMRLIK, ROMAN",2250000,0,CZECH,25,EDM,22,D,L,6,74,202,75,8,24,32,70,9,3,0,0,172,4.6999999881
"HANDZUS, MICHAL",-999,0,CZECH,22,STL,26,C,L,0,75,191,66,4,12,16,30,-9,0,0,0,78,5.099999994
"HANNAN, SCOTT",775000,1,CAN BC,20,SJ,6,D,L,0,73,210,5,0,2,2,6,0,0,0,0,4,0
"HANSEN, TAVIS",325000,0,CAN SAS,24,PHO,47,C,R,2,73,180,20,2,1,3,12,-4,0,0,0,14,14.2999999821
"HARLOCK, DAVID",250000,0,CAN ONT,28,NYI,6,D,L,4,74,200,70,2,6,8,68,-16,0,0,0,35,5.6999999881
"HARVEY, TODD",800000,0,CAN ONT,24,NYR,20,R,R,4,71,200,37,11,17,28,72,-1,6,0,2,58,19
"HATCHER, DERIAN",3800000,0,USA MI,27,DAL,2,D,L,7,77,225,80,9,21,30,102,21,3,0,2,125,7.1999999881
"HATCHER, KEVIN",3100000,0,USA MI,33,PIT,4,D,R,14,76,232,66,11,27,38,24,11,4,2,3,131,8.3999999762
"HAY, DWAYNE",325000,0,CAN ONT,22,FLA,12,L,L,1,73,183,9,0,0,0,0,-1,0,0,0,3,0
"HECHT, JOCHEN",-999,0,GERMANY,22,STL,55,C,L,0,73,191,3,0,0,0,0,-2,0,0,0,4,0
"HEDICAN, BRET",1400000,0,USA MN,29,FLA,4,D,L,7,74,195,67,5,18,23,51,5,0,2,1,90,5.599999994
"HEINS, SHAWN",900000,0,CAN ONT,25,SJ,23,D,L,0,76,215,5,0,0,0,13,0,0,0,0,4,0
"HEINZE, STEPHEN",1200000,0,USA MA,29,BOS,23,L,R,7,71,195,73,22,18,40,30,7,9,0,3,146,15.099999994
"HEJDUK, MILAN",690000,0,CZECH,23,COL,23,R,R,0,71,163,82,14,34,48,26,8,4,0,5,178,7.8999999911
"HELENIUS, SAMI",300000,0,FINLAND,25,TB,3,D,L,1,77,225,8,1,0,1,23,-5,0,1,0,4,25
"HELMER, BRYAN",-999,0,CAN ONT,27,STL,36,D,R,0,73,190,40,0,4,4,42,5,0,0,0,49,0
"HENDERSON, JAY",390000,0,CAN ALB,20,BOS,51,L,L,0,71,188,4,0,0,0,2,-1,0,0,0,4,0
"HENDERSON, MATT",-999,0,USA MN,25,NAS,47,R,L,0,73,205,2,0,0,0,2,-1,0,0,0,0,0
"HENDRICKSON, DARBY",775000,0,USA MN,27,VAN,14,C,L,5,72,185,62,4,5,9,52,-19,1,0,0,70,5.6999999881
"HERR, MATT",385000,0,USA NJ,23,WAS,26,C,L,0,73,180,30,2,2,4,8,-7,1,0,0,40,5
"HEWARD, JAMIE",350000,0,CAN SAS,28,NAS,20,D,R,2,74,207,63,6,12,18,44,-24,4,0,1,124,4.799999997
"HICKS, ALEX",500000,0,CAN ALB,30,FLA,18,C,L,3,73,195,55,0,7,7,62,-5,0,0,0,51,0
"HIGGINS, MATT",825000,0,CAN ALB,21,MON,46,C,L,1,73,175,25,1,0,1,0,-2,0,0,0,12,8.2999999821
"HILL, SEAN",750000,0,USA MN,29,CAR,22,D,R,8,72,203,54,0,10,10,48,9,0,0,0,44,0
"HOGLUND, JONAS",400000,0,SWEDEN,27,MON,44,R,R,2,75,210,74,8,10,18,16,-5,1,0,0,122,6.599999994
"HOGUE, BENOIT",-999,0,CAN QUE,32,DAL,33,L,L,11,70,194,74,12,17,29,54,-10,2,0,3,121,9.8999999762
"HOLDEN, JOSH",775000,0,CAN ALB,21,VAN,21,C,L,0,71,167,30,2,4,6,10,-10,1,0,0,44,4.5
"HOLIK, BOBBY",2500000,0,CZECH,28,NJ,16,C,R,8,75,225,78,27,37,64,119,16,5,0,8,253,10.6999999881
"HOLLAND, JASON",467500,0,CAN BC,23,BUF,29,D,R,2,74,193,3,0,0,0,8,-1,0,0,0,2,0
"HOLMSTROM, TOMAS",-999,0,SWEDEN,26,DET,96,L,L,2,72,210,82,13,21,34,69,-11,5,0,4,100,13
"HOLZINGER, BRIAN",1000000,0,USA OH,26,BUF,19,C,R,4,71,190,81,17,17,34,45,2,5,0,2,143,11.8999999762
"HOSSA, MARIAN",700000,0,CZECH,20,OTT,18,L,L,1,72,190,60,15,15,30,37,18,1,0,2,124,12.099999994
"HOUDA, DOUG",350000,0,CAN ONT,33,DET,3,D,R,12,74,190,3,0,1,1,0,-2,0,0,0,1,0
"HOUDE, ERIC",450000,1,CAN QUE,22,MON,15,C,L,2,71,191,8,1,1,2,2,-2,0,0,1,4,25
"HOUGH, MIKE",-999,0,CAN QUE,36,NYI,18,L,L,13,73,197,11,0,0,0,2,-2,0,0,0,4,0
"HOULDER, BILL",1325000,0,CAN ONT,32,SJ,2,D,L,11,74,211,76,9,23,32,40,8,7,0,5,115,7.799999997
"HOUSLEY, PHIL",2500000,0,USA MN,35,CAL,6,D,L,16,70,190,79,11,43,54,52,14,4,0,1,193,5.6999999881
"HRDINA, JAN",500000,0,CZECH,23,PIT,38,C,R,0,72,197,82,13,29,42,40,-2,3,0,2,94,13.7999999821
"HRKAC, TONY",550000,0,CAN ONT,33,DAL,41,C,L,8,71,170,69,13,14,27,26,2,2,0,2,67,19.3999999762
"HUARD, BILL",400000,0,CAN ONT,32,EDM,28,L,L,6,73,215,3,0,0,0,0,0,0,0,0,2,0
"HULBIG, JOE",450000,0,USA MA,25,EDM,12,L,L,2,75,215,1,0,0,0,2,1,0,0,0,2,0
"HULL, BRETT",5500000,0,CAN ONT,35,DAL,22,R,R,13,70,201,60,32,26,58,30,19,15,0,11,192,16.6999999881
"HULL, JODY",535000,0,CAN ONT,30,PHI,8,R,R,10,74,200,72,3,11,14,12,-2,0,0,1,73,4.099999994
"HULSE, CALE",800000,0,CAN ALB,25,CAL,32,D,R,3,75,215,73,3,9,12,117,-8,0,0,0,83,3.599999994
"HUNTER, DALE",-999,0,CAN ONT,39,COL,32,C,L,18,70,200,62,2,9,11,119,-7,0,0,0,24,8.2999999821
"HURLBUT, MIKE",325000,0,USA NY,32,BUF,21,D,L,3,74,200,1,0,0,0,0,2,0,0,0,2,0
"HUSCROFT, JAMIE",400000,0,CAN BC,32,PHO,6,D,R,8,74,215,37,0,2,2,90,-4,0,0,0,27,0
"IGINLA, JAROME",1500000,0,CAN ALB,22,CAL,12,R,R,3,74,202,82,28,23,51,58,1,7,0,4,211,13.2999999821
"IGNATJEV, VICTOR",-999,0,USSR,29,PIT,23,D,L,0,75,198,11,0,1,1,6,-3,0,0,0,15,0
"ISBISTER, BRAD",350000,0,CAN ALB,22,PHO,16,R,R,1,74,205,32,4,4,8,46,1,0,0,2,48,8.2999999821
"JAGR, JAROMIR",10359852,0,CZECH,27,PIT,68,R,L,8,74,215,81,44,83,127,66,17,10,1,7,343,12.7999999821
"JAKOPIN, JOHN",412500,0,CAN ONT,24,FLA,15,D,L,1,77,220,3,0,0,0,0,-1,0,0,0,0,0
"JANNEY, CRAIG",-999,0,USA CT,31,NYI,11,C,L,11,73,190,56,5,22,27,14,-15,2,0,0,45,11.099999994
"JANSSENS, MARK",800000,0,CAN BC,31,CHI,20,C,L,11,75,212,60,1,0,1,65,-11,0,0,0,27,3.6999999955
"JOHANSSON, ANDREAS",400000,0,SWEDEN,26,OTT,21,L,L,3,70,200,69,21,16,37,34,1,7,0,6,144,14.599999994
"JOHANSSON, CALLE",1500000,0,SWEDEN,32,WAS,6,D,L,11,71,200,67,8,21,29,22,10,2,0,2,145,5.5
"JOHNSON, CRAIG",825000,0,USA MN,27,LA,23,L,L,4,74,197,69,7,12,19,32,-12,2,0,2,94,7.3999999911
"JOHNSON, GREG",890000,0,CAN ONT,28,NAS,22,C,L,5,70,185,68,16,34,50,24,-8,2,3,0,120,13.2999999821
"JOHNSON, MATT",775000,0,CAN ONT,23,LA,17,L,L,4,77,230,49,2,1,3,131,-5,0,0,0,14,14.2999999821
"JOHNSON, MIKE",850000,0,CAN NS,25,TOR,20,R,R,2,75,190,79,20,24,44,35,13,5,3,2,149,13.3999999762
"JOHNSON, RYAN",440000,0,CAN ONT,23,FLA,17,C,L,1,74,185,1,1,0,1,0,0,0,0,0,1,100
"JOKINEN, OLLI",587500,0,FINLAND,20,LA,12,C,L,1,74,200,66,9,12,21,44,-10,3,1,1,87,10.2999999821
"JOMPHE, J.F.",-999,0,CAN QUE,26,MON,30,C,L,3,73,195,7,0,0,0,2,0,0,0,0,4,0
"JONES, KEITH",1500000,0,CAN ONT,30,PHI,20,R,L,6,74,200,78,20,33,53,98,23,3,0,3,135,14.7999999821
"JONES, TY",925000,0,USA WA,20,CHI,27,R,R,0,75,210,8,0,0,0,12,-1,0,0,0,3,0
"JONSSON, KENNY",1850000,0,SWEDEN,24,NYI,29,D,L,4,75,195,63,8,18,26,34,-18,6,0,0,91,8.7999999821
"JOSEPH, CHRIS",450000,0,CAN BC,30,PHI,25,D,R,11,74,202,2,0,0,0,2,0,0,0,0,1,0
"JOVANOVSKI, ED",1900000,0,CAN ONT,23,VAN,55,D,L,3,74,205,72,5,22,27,126,-9,1,0,1,109,4.599999994
"JUNEAU, JOE",1700000,0,CAN QUE,31,BUF,90,L,L,7,72,190,72,15,28,43,22,-4,2,1,3,150,10
"KABERLE, TOMAS",360000,1,CZECH,21,TOR,15,D,L,0,73,186,57,4,18,22,12,3,0,0,2,71,5.599999994
"KAMENSKY, VALERI",6000000,0,USSR,33,COL,13,L,R,7,74,198,65,14,30,44,28,1,2,0,2,123,11.3999999762
"KAPANEN, SAMI",1800000,0,FINLAND,26,CAR,24,R,L,3,70,173,81,24,35,59,10,-1,5,0,7,254,9.3999999762
"KARIYA, PAUL",10000000,0,CAN BC,24,ANA,9,L,L,4,71,180,82,39,62,101,40,17,11,2,4,429,9.099999994
"KARPA, DAVID",990000,0,CAN SAS,28,CAR,33,D,R,7,73,210,33,0,2,2,55,1,0,0,0,21,0
"KARPOVTSEV, ALEXANDER",1800000,0,USSR,29,TOR,52,D,R,5,73,210,58,3,25,28,52,39,1,0,1,65,4.599999994
"KASPARAITIS, DARIUS",1400000,0,USSR,26,PIT,11,D,L,6,71,200,48,1,4,5,70,12,0,0,0,32,3.099999994
"KEANE, MIKE",1925000,0,CAN MAN,32,DAL,12,R,R,10,70,185,81,6,23,29,62,-2,1,1,1,106,5.6999999881
"KECZMER, DAN",400000,0,USA MI,31,NAS,2,D,L,8,73,190,38,0,1,1,34,-5,0,0,0,24,0
"KELLEHER, CHRIS",-999,0,USA MA,24,PIT,3,D,L,0,74,220,1,0,0,0,0,0,0,0,0,0,0
"KELLY, STEVE",550000,0,CAN BC,22,TB,11,L,L,2,73,190,34,1,3,4,27,-15,0,0,1,15,6.6999999881
"KENNEDY, MIKE",-999,0,CAN BC,27,NYI,67,C,R,4,73,170,1,0,0,0,2,0,0,0,0,0,0
"KESA, DAN",350000,0,CAN BC,27,PIT,25,C,R,2,72,198,67,2,8,10,27,-9,0,0,0,33,6.099999994
"KHRISTICH, DIMITRI",840000,0,USSR,30,BOS,12,R,R,8,73,195,79,29,42,71,48,11,13,1,6,144,20.0999999642
"KILGER, CHAD",847000,0,CAN ONT,22,EDM,15,C,L,3,76,204,77,15,12,27,34,-4,2,1,1,81,18.5
"KING, DEREK",-999,0,CAN ONT,32,TOR,7,L,L,12,73,212,81,24,28,52,20,15,8,0,4,150,16
"KING, KRIS",957755,0,CAN ONT,33,TOR,12,L,L,11,71,208,67,2,2,4,105,-16,0,1,1,34,5.8999999911
"KJELLBERG, PATRIK",800000,0,SWEDEN,30,NAS,10,R,L,1,74,196,71,11,20,31,24,-13,2,0,2,103,10.6999999881
"KLATT, TRENT",1100000,0,USA MN,28,VAN,26,R,R,7,73,210,75,4,10,14,12,-3,0,0,0,60,6.6999999881
"KLEE, KEN",575000,0,USA IN,28,WAS,2,R,R,4,73,205,78,7,13,20,80,-9,0,0,1,132,5.299999997
"KLEMM, JON",675000,0,CAN BC,29,COL,24,R,R,6,75,200,39,1,2,3,31,4,0,0,0,28,3.599999994
"KLIMA, PETR",-999,0,CZECH,34,DET,85,L,R,12,72,190,13,1,0,1,4,-3,0,0,1,12,8.2999999821
"KNUBLE, MIKE",700000,0,CAN ONT,27,NYR,22,R,R,2,75,215,82,15,20,35,26,-7,3,0,1,113,13.2999999821
"KOCUR, JOEY",475000,0,CAN ALB,34,DET,26,R,R,14,72,205,39,2,5,7,87,0,0,0,0,20,10
"KOHN, LADISLAV",400000,0,CZECH,24,TOR,39,R,L,2,70,180,16,1,3,4,4,1,0,0,0,23,4.299999997
"KOIVU, SAKU",3300000,0,FINLAND,24,MON,11,C,L,3,69,170,65,14,30,44,38,-7,4,2,0,145,9.6999999881
"KONOWALCHUK, STEVE",850000,0,USA UT,26,WAS,22,L,L,7,72,200,45,12,12,24,26,0,4,1,2,98,12.1999999881
"KORDIC, DAN",-999,0,CAN ALB,28,PHI,21,L,L,5,77,227,2,0,0,0,2,-1,0,0,0,0,0
"KOROLEV, IGOR",875000,0,USSR,29,TOR,22,R,L,6,73,187,66,13,34,47,46,11,1,0,2,99,13.099999994
"KOROLYUK, ALEXANDER",650000,0,USSR,23,SJ,15,L,L,1,69,170,55,12,18,30,26,3,2,0,0,96,12.5
"KOVALENKO, ANDREI",1320000,0,USSR,29,CAR,51,R,L,6,70,210,74,19,21,40,32,-6,3,0,4,104,18.2999999523
"KOVALEV, ALEXEI",2100000,0,USSR,26,PIT,27,R,L,6,72,200,77,23,30,53,49,2,6,1,5,191,12
"KOZLOV, VIKTOR",1350000,0,USSR,24,FLA,25,C,R,4,77,225,65,16,35,51,24,13,5,1,1,209,7.6999999881
"KOZLOV, VYACHESLAV",2100000,0,USSR,27,DET,13,L,L,7,70,185,79,29,29,58,45,10,6,1,4,209,13.8999999762
"KRAVCHUK, IGOR",2500000,0,USSR,33,OTT,29,D,L,7,73,200,79,4,21,25,32,14,3,0,0,171,2.299999997
"KRIVOKRASOV, SERGEI",850000,0,USSR,25,NAS,25,R,L,6,71,185,70,25,23,48,42,-5,10,0,6,208,12
"KRON, ROBERT",1000000,0,CZECH,32,CAR,18,L,L,8,70,182,75,9,16,25,10,-13,3,1,2,134,6.6999999881
"KRUPP, UWE",-999,0,GERMANY,34,DET,4,D,R,12,78,235,22,3,2,5,6,0,0,0,0,32,9.3999999762
"KRUSE, PAUL",575000,0,CAN BC,29,BUF,24,L,L,8,72,202,43,3,0,3,114,0,0,0,0,33,9.099999994
"KUBA, FILIP",330000,0,CZECH,22,FLA,33,D,L,0,75,202,5,0,1,1,0,2,0,0,0,5,0
"KUBINA, PAVEL",340000,0,CZECH,22,TB,13,D,R,1,75,213,68,9,12,21,80,-33,3,1,1,119,7.599999994
"KVASHA, OLEG",525000,0,USSR,21,FLA,16,R,R,0,77,205,68,12,13,25,45,5,4,0,2,138,8.6999999881
"LAAKSONEN, ANTTI",450000,0,FINLAND,25,BOS,57,L,L,0,72,180,11,1,2,3,2,-1,0,0,0,8,12.5
"LACHANCE, SCOTT",1210000,0,USA VA,26,MON,20,D,L,7,73,196,76,2,9,11,41,-21,1,0,0,59,3.3999999985
"LaCOUTURE, DAN",700000,1,USA MA,22,EDM,15,L,L,0,74,201,3,0,0,0,0,1,0,0,0,0,0
"LACROIX, DANIEL",350000,0,CAN QUE,30,EDM,21,L,L,5,74,200,4,0,0,0,13,0,0,0,0,5,0
"LACROIX, ERIC",750000,0,CAN QUE,28,NYR,28,L,L,5,73,205,64,2,2,4,18,-12,0,0,1,38,5.299999997
"LaFAYETTE, NATHAN",-999,0,CAN BC,26,LA,24,C,R,5,73,200,33,2,2,4,35,0,0,1,1,42,4.799999997
"LAFLAMME, CHRISTIAN",550000,0,USA MO,22,EDM,24,D,R,2,73,202,73,2,12,14,70,-3,0,0,0,68,2.8999999985
"LAKOVIC, SASHA",500000,0,CAN BC,28,NJ,32,L,L,2,73,207,16,0,3,3,59,0,0,0,0,10,0
"LAMBERT, DENNY",465000,0,CAN ONT,29,NAS,28,L,L,4,71,200,76,5,11,16,218,-3,1,0,0,66,7.599999994
"LANDRY, ERIC",450000,0,CAN QUE,24,CAL,26,C,L,1,71,190,3,0,1,1,0,1,0,0,0,1,0
"LANG, ROBERT",925000,0,CZECH,28,PIT,20,C,R,5,74,200,72,21,23,44,24,-10,7,0,3,137,15.2999999821
"LANGDON, DARREN",585000,0,CAN NFD,28,NYR,19,L,L,4,73,205,44,0,0,0,80,-3,0,0,0,8,0
"LANGENBRUNNER, JAMIE",1150000,0,CAN ALB,24,DAL,15,L,R,4,71,185,75,12,33,45,62,10,4,0,1,145,8.2999999821
"LANGKOW, DAYMOND",700000,0,CAN ALB,22,PHI,18,C,L,3,71,175,78,14,19,33,39,-8,4,1,2,150,9.2999999821
"LAPERRIERE, IAN",-999,0,CAN QUE,25,LA,22,C,R,5,73,195,72,3,10,13,138,-5,0,0,1,62,4.799999997
"LAPLANTE, DARRYL",400000,0,CAN ALB,22,DET,21,C,R,1,73,185,3,0,0,0,0,0,0,0,0,0,0
"LAPOINTE, CLAUDE",600000,0,CAN QUE,30,NYI,13,L,L,8,69,181,82,14,23,37,62,-19,2,2,1,134,10.3999999762
"LAPOINTE, MARTIN",1050000,0,CAN QUE,26,DET,20,R,R,7,71,205,77,16,13,29,141,7,7,1,4,153,10.5
"LARAQUE, GEORGES",360000,1,CAN QUE,22,EDM,27,R,R,1,75,230,39,3,2,5,57,-1,0,0,0,17,17.5999999642
"LARIONOV, IGOR",1700000,0,USSR,38,DET,8,C,L,8,69,170,75,14,49,63,48,13,4,2,2,83,16.8999999762
"LAROCQUE, MARIO",875000,0,CAN QUE,21,TB,71,D,L,0,74,182,5,0,0,0,16,-4,0,0,0,3,0
"LAUKKANEN, JANNE",797500,0,FINLAND,29,OTT,27,D,L,4,72,180,50,1,11,12,40,18,0,0,0,46,2.1999999955
"LAUS, PAUL",800000,0,CAN ONT,28,FLA,3,D,R,5,73,216,75,1,9,10,218,-1,0,0,0,54,1.8999999985
"LAWRENCE, MARK",775000,0,CAN ONT,27,NYI,44,R,R,3,76,215,60,14,16,30,38,-8,4,0,2,88,15.8999999762
"LEACH, STEPHEN",200000,0,USA MA,33,PHO,23,R,R,13,71,197,31,1,3,4,43,-7,0,0,0,27,3.6999999955
"LEBEAU, PATRICK",-999,0,CAN QUE,29,PIT,18,L,L,3,70,193,8,1,0,1,2,-2,0,0,0,4,25
"LECAVALIER, VINCENT",975000,0,CAN QUE,19,TB,8,C,L,0,76,180,82,13,15,28,23,-19,2,0,2,125,10.3999999762
"LeCLAIR, JOHN",3969123,0,USA VT,30,PHI,10,L,L,8,74,220,76,43,47,90,30,36,16,0,7,246,17.5
"LECLERC, MIKE",400000,0,CAN MAN,22,ANA,12,L,L,2,74,205,7,0,0,0,4,-2,0,0,0,1,0
"LEDYARD, GRANT",-999,0,CAN MAN,37,BOS,36,D,L,14,74,195,47,4,8,12,33,-8,1,0,2,47,8.5
"LEETCH, BRIAN",6680000,0,USA TX,31,NYR,2,D,L,11,71,190,82,13,42,55,42,-7,4,0,1,184,7.099999994
"LEFEBVRE, PATRICE",-999,0,CAN QUE,32,WAS,14,R,L,0,66,160,3,0,0,0,2,-2,0,0,0,2,0
"LEFEBVRE, SYLVAIN",2600000,0,CAN QUE,31,COL,2,D,L,9,74,205,76,2,18,20,48,18,0,0,0,64,3.099999994
"LEGWAND, DAVID",975000,0,USA MI,19,NAS,11,C,L,0,73,175,1,0,0,0,0,0,0,0,0,2,0
"LEHTINEN, JERE",1500000,0,FINLAND,26,DAL,26,L,R,3,72,185,74,20,32,52,18,29,7,1,2,173,11.599999994
"LEMIEUX, CLAUDE",2466823,0,CAN QUE,34,COL,22,R,R,15,73,215,82,27,24,51,102,0,11,0,8,292,9.1999999881
"LEROUX, JEAN-YVES",535000,0,CAN QUE,23,CHI,23,L,L,2,74,200,40,3,5,8,21,-7,0,0,0,47,6.3999999911
"LESCHYSHYN, CURTIS",1800000,0,CAN MAN,29,CAR,7,D,L,10,73,205,65,2,7,9,50,-1,0,0,0,35,5.6999999881
"LETOWSKI, TREVOR",330000,0,CAN ONT,22,PHO,50,C,R,0,70,170,14,2,2,4,2,1,0,0,0,8,25
"LIDSTER, DOUG",-999,0,CAN BC,39,DAL,6,D,R,14,73,195,17,0,0,0,10,0,0,0,0,7,0
"LIDSTROM, NICKLAS",6000000,0,SWEDEN,29,DET,5,D,L,7,73,185,81,14,43,57,14,14,6,2,3,205,6.799999997
"LINDEN, TREVOR",3000000,0,CAN ALB,29,NYI,32,C,R,10,76,210,82,18,29,47,32,-14,8,1,1,167,10.7999999821
"LINDGREN, MATS",625000,0,SWEDEN,24,NYI,10,C,L,2,74,200,60,10,15,25,24,6,3,1,1,83,12
"LINDQUIST, FREDRIK",-999,0,SWEDEN,26,EDM,7,C,L,0,71,176,8,0,0,0,2,-2,0,0,0,6,0
"LINDROS, ERIC",8500000,0,CAN ONT,26,PHI,88,C,R,6,76,229,71,40,53,93,120,35,10,1,2,242,16.5
"LINDSAY, BILL",750000,0,CAN MAN,28,FLA,11,L,L,7,71,190,75,12,15,27,92,-1,0,1,2,135,8.8999999762
