PLAYER,SALARY,CAD_SALARY,BORN,AGE,TEAM,Number,Position,Handed,Years_EXP,Height,Weight,Games_Played,Goals,Assists,Points,Penalty_Min,PLUSMINUS,PP_Goals,SH_Goals,GW_Goals,SOG,Shot_PCT
"SYKORA, MICHAL",-999,0,CZECH,26,TB,23,D,L,5,76,225,10,1,2,3,0,-7,0,0,1,24,4.1999999881
"SYKORA, PETR",475000,0,CZECH,20,NAS,50,C,R,0,74,180,2,0,0,0,0,-1,0,0,0,2,0
"SYKORA, PETR",625000,0,CZECH,22,NJ,17,C,L,3,71,185,80,29,43,72,22,16,15,0,7,222,13.099999994
"SYLVESTER, DEAN",400000,0,USA MA,26,BUF,46,R,R,0,74,185,1,0,0,0,0,-1,0,0,0,1,0
"TAMER, CHRIS",1075000,0,USA MI,28,NYR,4,D,L,5,74,200,63,1,5,6,124,-14,0,0,1,48,2.099999994
"TAYLOR, CHRIS",375000,0,CAN ONT,27,BOS,38,C,L,3,72,185,37,3,5,8,12,-3,0,1,0,60,5
"TAYLOR, TIM",1200000,0,CAN ONT,30,BOS,26,C,L,5,73,185,49,4,7,11,55,-10,0,0,1,76,5.299999997
"TERTYSHNY, DIMITRI",-999,0,USSR,23,PHI,5,D,L,0,73,178,62,2,8,10,30,-1,1,0,0,68,2.8999999985
"TEZIKOV, ALEXEI",437500,0,USSR,21,WAS,4,D,L,0,73,198,5,0,0,0,0,-1,0,0,0,4,0
"THERIEN, CHRIS",1500000,0,CAN ONT,27,PHI,6,D,L,4,75,235,74,3,15,18,48,16,1,0,0,115,2.599999994
"THOMAS, STEVE",2500000,0,ENGLAND,36,TOR,32,L,L,14,71,190,78,28,45,73,33,26,11,0,7,209,13.3999999762
"THOMPSON, ROCKY",340000,0,CAN ALB,22,CAL,22,R,R,1,74,200,3,0,0,0,25,0,0,0,0,0,0
"THORNTON, JOE",925000,0,CAN ONT,20,BOS,6,C,L,1,76,205,81,16,25,41,69,3,7,0,1,128,12.5
"THORNTON, SCOTT",950000,0,CAN ONT,28,MON,24,L,L,8,74,210,47,7,4,11,87,-2,1,0,1,56,12.5
"TIKKANEN, ESA",-999,0,FINLAND,34,NYR,10,L,L,14,73,195,32,0,3,3,38,-5,0,0,0,25,0
"TILEY, BRAD",300000,0,CAN ONT,28,PHO,39,D,L,1,73,185,8,0,0,0,0,-1,0,0,0,1,0
"TIMANDER, MATTIAS",550000,0,SWEDEN,25,BOS,37,D,L,2,73,204,22,0,6,6,10,4,0,0,0,22,0
"TIMONEN, KIMMO",600000,0,FINLAND,24,NAS,44,D,L,0,70,187,50,4,8,12,30,-4,1,0,0,75,5.299999997
"TINORDI, MARK",-999,0,CAN ALB,33,WAS,24,D,L,11,76,218,48,0,6,6,108,-6,0,0,0,32,0
"TITOV, GERMAN",1200000,1,USSR,33,PIT,9,L,L,5,72,190,72,11,45,56,34,18,3,1,3,113,9.6999999881
"TKACHUK, KEITH",4300000,0,USA MA,27,PHO,7,L,L,7,74,215,68,36,32,68,151,22,11,2,7,258,14
"TOCCHET, RICK",2150000,0,CAN ONT,35,PHO,22,R,R,14,72,214,81,26,30,56,147,5,6,1,5,178,14.599999994
"TOMS, JEFF",420000,0,CAN SAS,25,WAS,21,L,L,3,75,195,21,1,5,6,2,0,0,0,0,30,3.299999997
"TRAVERSE, PATRICK",350000,1,CAN QUE,25,OTT,3,D,L,1,75,202,46,1,9,10,22,12,0,0,0,35,2.8999999985
"TREBIL, DAN",450000,0,USA MN,25,ANA,34,D,R,2,75,195,6,0,0,0,0,-2,0,0,0,1,0
"TREMBLAY, YANNICK",400000,0,CAN QUE,23,TOR,38,D,R,2,74,185,35,2,7,9,16,0,0,0,0,37,5.3999999911
